date,time,xacc,yacc,zacc,heartrate,spo2,stepcount,temp,falldetection
2026-05-01,08:04:55,0.15,0.08,0.41,112,94,494,37.2,1
2026-05-01,08:05:00,-0.28,0.25,1.11,103,96,496,37.5,0
2026-05-01,08:05:05,-0.08,0.05,1.06,87,97,506,36.4,0
2026-05-01,08:05:10,0.00,-0.02,1.04,89,98,516,36.5,0
2026-05-01,08:05:15,0.08,-0.08,1.02,91,99,522,36.6,0
2026-05-01,08:05:20,0.12,-0.12,0.99,93,97,532,36.7,0
2026-05-01,08:05:25,0.23,-0.26,1.02,108,95,542,37.4,0
2026-05-01,08:05:30,0.03,-0.06,0.95,72,99,552,36.9,0
2026-05-01,08:05:35,-0.06,0.01,0.94,74,97,558,36.4,0
2026-05-01,08:05:40,-0.01,-0.08,0.35,101,96,569,36.7,1
2026-05-01,08:05:45,3.30,-1.60,0.70,123,92,569,36.9,1
2026-05-01,08:05:50,-3.00,2.20,-0.80,126,90,569,37.5,1
2026-05-01,08:05:55,0.19,-0.12,0.25,113,95,569,36.8,1
2026-05-01,08:06:00,-0.11,0.07,0.94,88,97,572,36.4,0
2026-05-01,08:06:05,-0.11,0.11,0.96,90,98,582,36.5,0
2026-05-01,08:06:10,-0.05,0.11,0.99,92,99,588,36.6,0
2026-05-01,08:06:15,0.03,0.07,1.01,94,97,598,36.7,0
2026-05-01,08:06:20,0.23,0.01,1.09,108,95,608,37.4,0
2026-05-01,08:06:25,0.12,-0.06,1.06,73,99,618,36.9,0
2026-05-01,08:06:30,0.08,-0.11,1.06,75,97,624,36.4,0
2026-05-01,08:06:35,0.00,-0.12,1.05,77,98,634,36.5,0
2026-05-01,08:06:40,-0.05,-0.06,0.20,102,95,644,36.8,1
2026-05-01,08:06:45,3.48,-1.35,0.90,124,93,644,37.0,1
2026-05-01,08:06:50,-3.16,1.10,-0.55,127,91,644,37.0,1
2026-05-01,08:06:55,0.23,-0.07,0.29,114,93,644,36.9,1
2026-05-01,08:07:00,-0.08,-0.08,1.03,91,98,648,36.5,0
2026-05-01,08:07:05,-0.12,-0.02,1.00,93,99,654,36.6,0
2026-05-01,08:07:10,-0.09,0.05,0.98,70,97,664,36.7,0
2026-05-01,08:07:15,-0.05,0.25,1.00,108,95,674,37.4,0
2026-05-01,08:07:20,0.06,0.12,0.94,74,99,684,36.9,0
2026-05-01,08:07:25,0.11,0.09,0.94,76,97,690,36.4,0
2026-05-01,08:07:30,0.11,0.03,0.95,78,98,700,36.5,0
2026-05-01,08:07:35,0.05,-0.04,0.98,80,99,710,36.6,0
2026-05-01,08:07:40,-0.08,-0.03,0.23,103,96,719,36.9,1
2026-05-01,08:07:45,3.66,-1.10,1.10,125,94,719,37.1,1
2026-05-01,08:07:50,-2.20,1.32,-0.30,128,92,719,37.1,1
2026-05-01,08:07:55,0.27,-0.02,0.33,115,94,719,37.0,1
2026-05-01,08:08:00,-0.04,-0.10,1.00,94,99,720,36.6,0
2026-05-01,08:08:05,-0.10,-0.12,1.03,71,97,730,36.7,0
2026-05-01,08:08:10,-0.27,-0.22,1.10,108,95,740,37.4,0
2026-05-01,08:08:15,-0.07,-0.04,1.06,75,99,750,36.9,0
2026-05-01,08:08:20,0.01,0.03,1.06,77,97,756,36.4,0
2026-05-01,08:08:25,0.09,0.09,1.04,79,98,766,36.5,0
2026-05-01,08:08:30,0.12,0.12,1.01,81,99,776,36.6,0
2026-05-01,08:08:35,0.21,0.24,1.04,113,94,786,37.3,0
2026-05-01,08:08:40,-0.08,0.01,0.26,104,95,794,37.0,1
2026-05-01,08:08:45,2.40,-0.85,0.50,126,91,794,37.2,1
2026-05-01,08:08:50,-2.36,1.54,-0.05,129,93,794,37.2,1
2026-05-01,08:08:55,0.15,0.03,0.37,116,95,794,37.1,1
2026-05-01,08:09:00,0.01,0.05,0.96,72,97,796,36.7,0
2026-05-01,08:09:05,-0.16,-0.05,0.99,108,95,806,37.4,0
2026-05-01,08:09:10,-0.12,-0.09,0.94,76,99,816,36.9,0
2026-05-01,08:09:15,-0.11,-0.12,0.95,78,97,822,36.4,0
2026-05-01,08:09:20,-0.04,-0.11,0.97,80,98,832,36.5,0
2026-05-01,08:09:25,0.05,-0.06,0.99,82,99,842,36.6,0
2026-05-01,08:09:30,0.25,0.03,1.07,113,94,852,37.3,0
2026-05-01,08:09:35,0.12,0.08,1.04,86,98,858,36.8,0
2026-05-01,08:09:40,-0.06,0.04,0.29,105,96,869,37.1,1
2026-05-01,08:09:45,2.58,-0.60,0.70,127,92,869,37.3,1
2026-05-01,08:09:50,-2.52,1.76,0.20,130,94,869,37.3,1
2026-05-01,08:09:55,0.19,0.08,0.41,117,93,869,37.2,1
2026-05-01,08:10:00,0.15,0.27,1.11,108,95,872,37.4,0
2026-05-01,08:10:05,-0.02,0.11,1.06,77,99,882,36.9,0
2026-05-01,08:10:10,-0.09,0.07,1.05,79,97,888,36.4,0
2026-05-01,08:10:15,-0.12,0.00,1.02,81,98,898,36.5,0
2026-05-01,08:10:20,-0.08,-0.07,1.00,83,99,908,36.6,0
2026-05-01,08:10:25,-0.01,-0.26,1.02,113,94,918,37.3,0
2026-05-01,08:10:30,0.08,-0.12,0.95,87,98,924,36.8,0
2026-05-01,08:10:35,0.12,-0.08,0.94,89,99,934,36.9,0
2026-05-01,08:10:40,-0.02,0.07,0.32,106,95,944,36.7,1
2026-05-01,08:10:45,2.76,-1.60,0.90,128,93,944,36.9,1
2026-05-01,08:10:50,-2.68,1.98,-0.80,131,90,944,37.4,1
2026-05-01,08:10:55,0.23,-0.12,0.25,118,94,944,36.8,1
2026-05-01,08:11:00,0.10,-0.01,0.94,78,99,948,36.9,0
2026-05-01,08:11:05,0.03,0.06,0.96,80,97,954,36.4,0
2026-05-01,08:11:10,-0.05,0.11,0.98,82,98,964,36.5,0
2026-05-01,08:11:15,-0.11,0.12,1.01,84,99,974,36.6,0
2026-05-01,08:11:20,-0.26,0.20,1.09,113,94,984,37.3,0
2026-05-01,08:11:25,-0.06,0.02,1.05,88,98,990,36.8,0
2026-05-01,08:11:30,0.03,-0.05,1.06,90,99,1000,36.9,0
2026-05-01,08:11:35,0.10,-0.10,1.05,92,97,1010,36.4,0
2026-05-01,08:11:40,0.02,0.08,0.35,107,96,1019,36.8,1
2026-05-01,08:11:45,2.94,-1.35,1.10,129,94,1019,37.0,1
2026-05-01,08:11:50,-2.84,2.20,-0.55,132,91,1019,37.5,1
2026-05-01,08:11:55,0.27,-0.07,0.29,119,95,1019,36.9,1
2026-05-01,08:12:00,0.12,-0.12,1.03,81,97,1020,36.4,0
2026-05-01,08:12:05,0.08,-0.09,1.01,83,98,1030,36.5,0
2026-05-01,08:12:10,0.00,-0.03,0.98,85,99,1040,36.6,0
2026-05-01,08:12:15,-0.19,0.10,1.01,113,94,1050,37.3,0
2026-05-01,08:12:20,-0.12,0.10,0.94,89,98,1056,36.8,0
2026-05-01,08:12:25,-0.10,0.12,0.94,91,99,1066,36.9,0
2026-05-01,08:12:30,-0.02,0.10,0.95,93,97,1076,36.4,0
2026-05-01,08:12:35,0.06,0.04,0.97,70,98,1086,36.5,0
2026-05-01,08:12:40,0.06,0.07,0.20,108,95,1094,36.9,1
2026-05-01,08:12:45,3.12,-1.10,0.50,130,91,1094,37.1,1
2026-05-01,08:12:50,-3.00,1.10,-0.30,133,92,1094,37.0,1
2026-05-01,08:12:55,0.15,-0.02,0.33,120,93,1094,37.0,1
2026-05-01,08:13:00,0.11,-0.03,1.00,84,98,1096,36.5,0
2026-05-01,08:13:05,0.11,-0.09,1.03,86,99,1106,36.6,0
2026-05-01,08:13:10,0.12,-0.28,1.10,113,94,1116,37.3,0
2026-05-01,08:13:15,-0.04,-0.10,1.06,90,98,1122,36.8,0
2026-05-01,08:13:20,-0.10,-0.05,1.06,92,99,1132,36.9,0
2026-05-01,08:13:25,-0.12,0.02,1.04,94,97,1142,36.4,0
2026-05-01,08:13:30,-0.07,0.08,1.02,71,98,1152,36.5,0
2026-05-01,08:13:35,0.02,0.28,1.04,118,96,1158,37.2,0
2026-05-01,08:13:40,0.08,0.05,0.23,109,96,1169,37.0,1
2026-05-01,08:13:45,3.30,-0.85,0.70,131,92,1169,37.2,1
2026-05-01,08:13:50,-3.16,1.32,-0.05,134,93,1169,37.1,1
2026-05-01,08:13:55,0.19,0.03,0.37,121,94,1169,37.1,1
2026-05-01,08:14:00,0.09,0.11,0.96,87,99,1172,36.6,0
2026-05-01,08:14:05,0.28,0.14,1.00,113,94,1182,37.3,0
2026-05-01,08:14:10,0.09,-0.01,0.94,91,98,1188,36.8,0
2026-05-01,08:14:15,0.02,-0.08,0.95,93,99,1198,36.9,0
2026-05-01,08:14:20,-0.07,-0.12,0.97,70,97,1208,36.4,0
2026-05-01,08:14:25,-0.12,-0.11,0.99,72,98,1218,36.5,0
2026-05-01,08:14:30,-0.25,-0.16,1.07,118,96,1224,37.2,0
2026-05-01,08:14:35,-0.04,0.00,1.04,76,97,1234,36.7,0
2026-05-01,08:14:40,0.07,0.01,0.26,110,95,1244,37.1,1
2026-05-01,08:14:45,3.48,-0.60,0.90,132,93,1244,37.3,1
2026-05-01,08:14:50,-2.20,1.54,0.20,135,94,1244,37.2,1
2026-05-01,08:14:55,0.23,0.08,0.41,122,95,1244,37.2,1
2026-05-01,08:15:00,0.10,0.16,1.11,113,94,1248,37.3,0
2026-05-01,08:15:05,0.11,0.11,1.06,92,98,1254,36.8,0
2026-05-01,08:15:10,0.12,0.12,1.05,94,99,1264,36.9,0
2026-05-01,08:15:15,0.07,0.08,1.03,71,97,1274,36.4,0
2026-05-01,08:15:20,-0.02,0.01,1.00,73,98,1284,36.5,0
2026-05-01,08:15:25,-0.21,-0.13,1.02,118,96,1290,37.2,0
2026-05-01,08:15:30,-0.12,-0.11,0.95,77,97,1300,36.7,0
2026-05-01,08:15:35,-0.09,-0.12,0.94,79,98,1310,36.8,0
2026-05-01,08:15:40,0.05,-0.02,0.29,96,96,1319,36.7,1
2026-05-01,08:15:45,3.66,-1.60,1.10,133,94,1319,36.9,1
2026-05-01,08:15:50,-2.36,1.76,-0.80,136,90,1319,37.3,1
2026-05-01,08:15:55,0.27,-0.12,0.25,123,93,1319,36.8,1
2026-05-01,08:16:00,-0.01,-0.09,0.94,93,98,1320,36.8,0
2026-05-01,08:16:05,0.07,-0.02,0.96,70,99,1330,36.9,0
2026-05-01,08:16:10,0.12,0.05,0.98,72,97,1340,36.4,0
2026-05-01,08:16:15,0.10,0.10,1.01,74,98,1350,36.5,0
2026-05-01,08:16:20,0.08,0.28,1.08,118,96,1356,37.2,0
2026-05-01,08:16:25,-0.05,0.09,1.05,78,97,1366,36.7,0
2026-05-01,08:16:30,-0.11,0.03,1.06,80,98,1376,36.8,0
2026-05-01,08:16:35,-0.11,-0.04,1.05,82,99,1386,36.9,0
2026-05-01,08:16:40,0.01,-0.06,0.32,97,95,1394,36.8,1
2026-05-01,08:16:45,2.40,-1.35,0.50,134,91,1394,37.0,1
2026-05-01,08:16:50,-2.52,1.98,-0.55,121,91,1394,37.4,1
2026-05-01,08:16:55,0.15,-0.07,0.29,124,94,1394,36.9,1
2026-05-01,08:17:00,-0.06,-0.10,1.04,71,99,1396,36.9,0
2026-05-01,08:17:05,0.02,-0.12,1.01,73,97,1406,36.4,0
2026-05-01,08:17:10,0.10,-0.10,0.98,75,98,1416,36.5,0
2026-05-01,08:17:15,0.28,-0.10,1.01,118,96,1422,37.2,0
2026-05-01,08:17:20,0.08,0.03,0.94,79,97,1432,36.7,0
2026-05-01,08:17:25,0.00,0.09,0.94,81,98,1442,36.8,0
2026-05-01,08:17:30,-0.08,0.12,0.95,83,99,1452,36.9,0
2026-05-01,08:17:35,-0.12,0.11,0.97,85,97,1458,36.4,0
2026-05-01,08:17:40,-0.04,-0.08,0.35,98,96,1469,36.9,1
2026-05-01,08:17:45,2.58,-1.10,0.70,135,92,1469,37.1,1
2026-05-01,08:17:50,-2.68,2.20,-0.30,122,92,1469,37.5,1
2026-05-01,08:17:55,0.19,-0.02,0.33,108,95,1469,37.0,1
2026-05-01,08:18:00,-0.10,0.05,1.00,74,97,1472,36.4,0
2026-05-01,08:18:05,-0.03,-0.02,1.03,76,98,1482,36.5,0
2026-05-01,08:18:10,0.13,-0.19,1.10,118,96,1488,37.2,0
2026-05-01,08:18:15,0.11,-0.12,1.06,80,97,1498,36.7,0
2026-05-01,08:18:20,0.11,-0.11,1.06,82,98,1508,36.8,0
2026-05-01,08:18:25,0.05,-0.06,1.04,84,99,1518,36.9,0
2026-05-01,08:18:30,-0.03,0.01,1.02,86,97,1524,36.4,0
2026-05-01,08:18:35,-0.24,0.17,1.04,102,95,1534,37.1,0
2026-05-01,08:18:40,-0.07,-0.08,0.20,99,95,1544,37.0,1
2026-05-01,08:18:45,2.76,-0.85,0.90,118,93,1544,37.2,1
2026-05-01,08:18:50,-2.84,1.10,-0.05,123,93,1544,37.0,1
2026-05-01,08:18:55,0.23,0.03,0.37,109,93,1544,37.1,1
2026-05-01,08:19:00,-0.12,0.11,0.97,77,98,1548,36.5,0
2026-05-01,08:19:05,-0.18,0.27,1.00,118,96,1554,37.2,0
2026-05-01,08:19:10,0.01,0.07,0.94,81,97,1564,36.7,0
2026-05-01,08:19:15,0.08,0.01,0.95,83,98,1574,36.8,0
2026-05-01,08:19:20,0.12,-0.06,0.96,85,99,1584,36.9,0
2026-05-01,08:19:25,0.09,-0.11,0.99,87,97,1590,36.4,0
2026-05-01,08:19:30,0.05,-0.27,1.07,102,95,1600,37.1,0
2026-05-01,08:19:35,-0.06,-0.08,1.04,91,99,1610,36.6,0
2026-05-01,08:19:40,-0.08,-0.06,0.23,100,96,1619,37.1,1
2026-05-01,08:19:45,2.94,-0.60,1.10,119,94,1619,37.3,1
2026-05-01,08:19:50,-3.00,1.32,0.20,124,94,1619,37.1,1
2026-05-01,08:19:55,0.27,0.08,0.41,110,94,1619,37.2,1
2026-05-01,08:20:00,-0.27,-0.04,1.11,118,96,1620,37.2,0
2026-05-01,08:20:05,-0.11,0.05,1.06,82,97,1630,36.7,0
2026-05-01,08:20:10,-0.05,0.11,1.05,84,98,1640,36.8,0
2026-05-01,08:20:15,0.04,0.12,1.03,86,99,1650,36.9,0
2026-05-01,08:20:20,0.11,0.09,1.00,88,97,1656,36.4,0
2026-05-01,08:20:25,0.27,0.06,1.03,102,95,1666,37.1,0
2026-05-01,08:20:30,0.07,-0.04,0.95,92,99,1676,36.6,0
2026-05-01,08:20:35,-0.01,-0.10,0.94,94,97,1686,36.7,0
2026-05-01,08:20:40,-0.07,-0.03,0.26,101,95,1694,36.7,1
2026-05-01,08:20:45,3.12,-1.60,0.50,120,91,1694,36.9,1
2026-05-01,08:20:50,-3.16,1.54,-0.80,125,90,1694,37.2,1
2026-05-01,08:20:55,0.15,-0.12,0.25,111,95,1694,36.8,1
2026-05-01,08:21:00,-0.09,-0.12,0.94,83,97,1696,36.7,0
2026-05-01,08:21:05,-0.12,-0.10,0.96,85,98,1706,36.8,0
2026-05-01,08:21:10,-0.09,-0.04,0.98,87,99,1716,36.9,0
2026-05-01,08:21:15,-0.01,0.03,1.01,89,97,1722,36.4,0
2026-05-01,08:21:20,0.16,0.22,1.08,102,95,1732,37.1,0
2026-05-01,08:21:25,0.12,0.12,1.05,93,99,1742,36.6,0
2026-05-01,08:21:30,0.10,0.10,1.06,70,97,1752,36.7,0
2026-05-01,08:21:35,0.04,0.05,1.06,72,98,1758,36.8,0
2026-05-01,08:21:40,-0.04,0.00,0.29,102,96,1769,36.8,1
2026-05-01,08:21:45,3.30,-1.35,0.70,121,92,1769,37.0,1
2026-05-01,08:21:50,-2.20,1.76,-0.55,126,91,1769,37.3,1
2026-05-01,08:21:55,0.19,-0.07,0.29,112,93,1769,36.9,1
2026-05-01,08:22:00,-0.05,-0.02,1.04,86,98,1772,36.8,0
2026-05-01,08:22:05,-0.11,-0.09,1.01,88,99,1782,36.9,0
2026-05-01,08:22:10,-0.11,-0.12,0.99,90,97,1788,36.4,0
2026-05-01,08:22:15,-0.15,-0.25,1.01,102,95,1798,37.1,0
2026-05-01,08:22:20,0.02,-0.06,0.94,94,99,1808,36.6,0
2026-05-01,08:22:25,0.09,0.01,0.94,71,97,1818,36.7,0
2026-05-01,08:22:30,0.12,0.08,0.95,73,98,1824,36.8,0
2026-05-01,08:22:35,0.08,0.12,0.97,75,99,1834,36.9,0
2026-05-01,08:22:40,0.01,0.04,0.32,103,95,1844,36.9,1
2026-05-01,08:22:45,3.48,-1.10,0.90,122,93,1844,37.1,1
2026-05-01,08:22:50,-2.36,1.98,-0.30,127,92,1844,37.4,1
2026-05-01,08:22:55,0.23,-0.02,0.33,113,94,1844,37.0,1
2026-05-01,08:23:00,0.00,0.11,1.00,89,99,1848,36.9,0
2026-05-01,08:23:05,-0.08,0.07,1.02,91,97,1854,36.4,0
2026-05-01,08:23:10,-0.28,0.00,1.10,102,95,1864,37.1,0
2026-05-01,08:23:15,-0.10,-0.07,1.06,70,99,1874,36.6,0
2026-05-01,08:23:20,-0.03,-0.11,1.06,72,97,1884,36.7,0
2026-05-01,08:23:25,0.05,-0.12,1.05,74,98,1890,36.8,0
2026-05-01,08:23:30,0.11,-0.08,1.02,76,99,1900,36.9,0
2026-05-01,08:23:35,0.26,-0.02,1.05,107,94,1910,37.0,0
2026-05-01,08:23:40,0.05,0.07,0.35,104,96,1919,37.0,1
2026-05-01,08:23:45,3.66,-0.85,1.10,123,94,1919,37.2,1
2026-05-01,08:23:50,-2.52,2.20,-0.05,128,93,1919,37.5,1
2026-05-01,08:23:55,0.27,0.03,0.37,114,95,1919,37.1,1
2026-05-01,08:24:00,0.06,0.06,0.97,92,97,1920,36.4,0
2026-05-01,08:24:05,-0.07,0.25,1.00,102,95,1930,37.1,0
2026-05-01,08:24:10,-0.10,0.12,0.94,71,99,1940,36.6,0
2026-05-01,08:24:15,-0.12,0.08,0.94,73,97,1950,36.7,0
2026-05-01,08:24:20,-0.08,0.02,0.96,75,98,1956,36.8,0
2026-05-01,08:24:25,0.00,-0.05,0.99,77,99,1966,36.9,0
2026-05-01,08:24:30,0.19,-0.24,1.06,107,94,1976,37.0,0
2026-05-01,08:24:35,0.12,-0.12,1.04,81,98,1986,36.5,0
2026-05-01,08:24:40,0.07,0.08,0.20,105,95,1994,37.1,1
2026-05-01,08:24:45,2.40,-0.60,0.50,124,91,1994,37.3,1
2026-05-01,08:24:50,-2.68,1.10,0.20,129,94,1994,37.0,1
2026-05-01,08:24:55,0.15,0.08,0.41,115,93,1994,37.2,1
2026-05-01,08:25:00,0.22,-0.21,1.11,102,95,1996,37.1,0
2026-05-01,08:25:05,0.02,-0.03,1.06,72,99,2006,36.6,0
2026-05-01,08:25:10,-0.06,0.04,1.05,74,97,2016,36.7,0
2026-05-01,08:25:15,-0.11,0.10,1.03,76,98,2022,36.8,0
2026-05-01,08:25:20,-0.11,0.12,1.01,78,99,2032,36.9,0
2026-05-01,08:25:25,-0.11,0.23,1.03,107,94,2042,37.0,0
2026-05-01,08:25:30,0.04,0.04,0.96,82,98,2052,36.5,0
2026-05-01,08:25:35,0.10,-0.03,0.94,84,99,2058,36.6,0
2026-05-01,08:25:40,0.08,0.07,0.23,106,96,2069,36.7,1
2026-05-01,08:25:45,2.58,-1.60,0.70,125,92,2069,36.9,1
2026-05-01,08:25:50,-2.84,1.32,-0.80,130,90,2069,37.1,1
2026-05-01,08:25:55,0.19,-0.12,0.25,116,94,2069,36.8,1
2026-05-01,08:26:00,0.12,-0.09,0.94,73,99,2072,36.6,0
2026-05-01,08:26:05,0.07,-0.12,0.95,75,97,2082,36.7,0
2026-05-01,08:26:10,-0.01,-0.10,0.98,77,98,2088,36.8,0
2026-05-01,08:26:15,-0.09,-0.05,1.00,79,99,2098,36.9,0
2026-05-01,08:26:20,-0.28,0.05,1.08,107,94,2108,37.0,0
2026-05-01,08:26:25,-0.09,0.08,1.05,83,98,2118,36.5,0
2026-05-01,08:26:30,-0.02,0.12,1.06,85,99,2124,36.6,0
2026-05-01,08:26:35,0.07,0.11,1.06,87,97,2134,36.7,0
2026-05-01,08:26:40,0.06,0.05,0.26,107,95,2144,36.8,1
2026-05-01,08:26:45,2.76,-1.35,0.90,126,93,2144,37.0,1
2026-05-01,08:26:50,-3.00,1.54,-0.55,131,91,2144,37.2,1
2026-05-01,08:26:55,0.23,-0.07,0.29,117,95,2144,36.9,1
2026-05-01,08:27:00,0.12,0.06,1.04,76,97,2148,36.7,0
2026-05-01,08:27:05,0.11,-0.01,1.02,78,98,2154,36.8,0
2026-05-01,08:27:10,0.04,-0.08,0.99,80,99,2164,36.9,0
2026-05-01,08:27:15,-0.10,-0.27,1.01,107,94,2174,37.0,0
2026-05-01,08:27:20,-0.11,-0.11,0.95,84,98,2184,36.5,0
2026-05-01,08:27:25,-0.12,-0.07,0.94,86,99,2190,36.6,0
2026-05-01,08:27:30,-0.07,0.00,0.95,88,97,2200,36.7,0
2026-05-01,08:27:35,0.02,0.07,0.97,90,98,2210,36.8,0
2026-05-01,08:27:40,0.02,0.02,0.29,108,96,2219,36.9,1
2026-05-01,08:27:45,2.94,-1.10,1.10,127,94,2219,37.1,1
2026-05-01,08:27:50,-3.16,1.76,-0.30,132,92,2219,37.3,1
2026-05-01,08:27:55,0.27,-0.02,0.33,118,93,2219,37.0,1
2026-05-01,08:28:00,0.09,0.11,0.99,79,98,2220,36.8,0
2026-05-01,08:28:05,0.12,0.12,1.02,81,99,2230,36.9,0
2026-05-01,08:28:10,0.20,0.18,1.09,107,94,2240,37.0,0
2026-05-01,08:28:15,0.01,0.01,1.06,85,98,2250,36.5,0
2026-05-01,08:28:20,-0.07,-0.06,1.06,87,99,2256,36.6,0
2026-05-01,08:28:25,-0.12,-0.11,1.05,89,97,2266,36.7,0
2026-05-01,08:28:30,-0.10,-0.12,1.03,91,98,2276,36.8,0
2026-05-01,08:28:35,-0.08,-0.20,1.05,112,96,2286,37.5,0
2026-05-01,08:28:40,-0.02,-0.02,0.32,109,95,2294,37.0,1
2026-05-01,08:28:45,3.12,-0.85,0.50,128,91,2294,37.2,1
2026-05-01,08:28:50,-2.20,1.98,-0.05,133,93,2294,37.4,1
2026-05-01,08:28:55,0.15,0.03,0.37,119,94,2294,37.1,1
2026-05-01,08:29:00,0.05,-0.02,0.97,82,99,2296,36.9,0
2026-05-01,08:29:05,0.26,0.11,1.00,107,94,2306,37.0,0
2026-05-01,08:29:10,0.11,0.10,0.94,86,98,2316,36.5,0
2026-05-01,08:29:15,0.06,0.12,0.94,88,99,2322,36.6,0
2026-05-01,08:29:20,-0.03,0.09,0.96,90,97,2332,36.7,0
2026-05-01,08:29:25,-0.10,0.03,0.98,92,98,2342,36.8,0
2026-05-01,08:29:30,-0.28,-0.09,1.06,112,96,2352,37.5,0
2026-05-01,08:29:35,-0.08,-0.10,1.04,71,97,2358,36.4,0
2026-05-01,08:29:40,-0.06,-0.05,0.35,110,96,2369,37.1,1
2026-05-01,08:29:45,3.30,-0.60,0.70,129,92,2369,37.3,1
2026-05-01,08:29:50,-2.36,2.20,0.20,134,94,2369,37.5,1
2026-05-01,08:29:55,0.19,0.08,0.41,120,95,2369,37.2,1
